河北,沧州,（出租）出租运河310平米仓库3000元/月,区域：运河 ,地段：梁官屯村东南角附近,面积：310㎡,租金：3000  
河北,沧州,（出租）厂房出租,浮阳北大道延长线，美林艺墅北沧北驾校,区域：运河 ,地段：浮阳北大道延长线附近或美林小镇沧北驾校,面积：1000㎡,租金：1000元/月  
河北,沧州,（出租）出租河间东环大钱柜南100米仓库,区域：河间 ,地段：河间东环大钱柜南100米附近,面积：300㎡,租金：2000元/月  
河北,沧州,（出租）京沪沧州北附近有冷库出租,区域：运河 ,地段：京沪高速沧州北附近,面积：220㎡,租金：面议  
河北,沧州,（出租）东外环厂房出租400平米,区域：黄骅 ,地段：马庄孑附近,面积：400㎡,租金：面议  
河北,沧州,（出租）出租运河2000平米仓库,区域：运河 ,地段：迎宾北路附近,面积：2000㎡,租金：1  
河北,沧州,（出租）出租仓库,渤海石油技术学院附近,区域：任丘 ,地段：渤海石油技术学院附近或南500米路西,面积：350㎡,租金：面议  
河北,沧州,（出租）泊彩豪庭37号楼阳面仓库30平米,区域：泊头 ,地段：泊彩豪庭37号楼阳面附近,面积：30㎡,租金：200元/月  
河北,沧州,（出租）出租运河10平米仓库150元/月,区域：运河 ,地段：北环安馨家园附近,面积：10㎡,租金：150  
河北,沧州,（出租）出租运河区锦绣天地储藏间,区域：运河 ,地段：新同天超市附近,面积：10㎡,租金：200元/月  
河北,沧州,（出租）西屯村仓库200平米,区域：运河 ,地段：西屯村附近,面积：200㎡,租金：500元/月  
河北,沧州,（出租）出租新华232平米仓库800元/月,区域：新华 ,地段：鞠官屯附近,面积：232㎡,租金：800  
河北,沧州,（出租）石油三部南小区D区仓库22平米,区域：河间 ,地段：石油三部南小区D区车库附近,面积：22㎡,租金：300元/月  
河北,沧州,（出租）沧县14亩地对外招商出租,区域：沧县 ,地段：沧县附近或高铁,面积：5500㎡,租金：面议  
河北,沧州,（出租）北外环附近美林小镇东工业园区或孔辛庄,区域：运河 ,地段：北外环附近附近或美林小镇东工业区或孔辛庄,面积：250㎡,租金：2500元/月  
河北,沧州,（出租）自家小型仓库低价出租,区域：运河 ,地段：沧州市彩虹桥西附近或光荣路,面积：20㎡,租金：3元/㎡/天  
河北,沧州,（出租）出租运河12平米仓库200元/月,区域：运河 ,地段：锦绣天地附近,面积：12㎡,租金：200  
河北,沧州,（出租）平房一院有意电联,区域：新华 ,地段：孙庄子附近,面积：130㎡,租金：800元/月  
河北,沧州,（出租）黄骅市里仓库出租300㎡,区域：黄骅 ,地段：渤海路老五一机械厂对过3附近,面积：300㎡,租金：2500元/月  
河北,沧州,（出租）沧州北收费站西三环附近仓库0-400平,区域：沧县 ,地段：沧州北收费站，西三环附近附近,面积：400㎡,租金：1元/月  
河北,沧州,（出租）张官屯东叶庙省道附近仓库4500平米,区域：沧县 ,地段：张官屯东叶庙省道附近附近,面积：4500㎡,租金：600元/月  
河北,沧州,（出租）出租运河2000平米仓库1元/月,区域：运河 ,地段：迎宾大道红星美凯龙对面附近,面积：2000㎡,租金：1  
