河北,邢台,（出租）北国商城冶金南路仓库30平米,区域：桥西 北国商城 ,地段：冶金南路附近,面积：30㎡,租金：400元/月  
河北,邢台,（出租）(出租)南高速口邢台市南环与长安路交叉口厂房门市,区域：桥东 高开区 ,地段：南环路与长安路交叉口附近或南高速口107国道七里河,面积：800㎡,租金：6990元/月  
河北,邢台,（出租）银河花园仓库车库22平米低价出租,区域：桥西 八一路 ,地段：银河花园附近,面积：22㎡,租金：260元/月  
河北,邢台,（出租）八一路丽苑南区仓库18㎡,区域：桥西 八一路 ,地段：丽苑南区附近,面积：18㎡,租金：300元/月  
河北,邢台,（出租）邢台南高速路口附近800平方厂房500平小院出租,区域：桥东 ,地段：南高速口附近或南高速口,面积：1550㎡,租金：面议  
河北,邢台,（出租）七里河300平仓库,区域：桥西 七里河 ,地段：七里河锦江不夜城附近,面积：300㎡,租金：面议  
河北,邢台,（出租）羊范镇羊范村邢峰工路北二仓库500平米,区域：邢台县 ,地段：羊范镇羊范村邢峰工路北二附近,面积：500㎡,租金：1元/㎡/天  
河北,邢台,（出租）出租空房（可做库房）,区域：清河 ,地段：长江街与泰山路交叉口南行附近,面积：96㎡,租金：500元/月  
河北,邢台,（出租）青青家园20号楼车库厂房20平米,区域：桥西 青青家园 ,地段：20号楼车库附近,面积：20㎡,租金：500元/月  
河北,邢台,（出租）出租桥东-五一桥1200平米仓库1元/月,区域：桥东 五一桥 ,地段：苍南路车管所东附近,面积：1200㎡,租金：1  
河北,邢台,（出租）民政小区车库出租,区域：桥西 达活泉公园 ,地段：达活泉公园南门西邻附近,面积：28㎡,租金：460元/月  
河北,邢台,（出租）甜橙国际邯郸路口中银花园仓库30平米,区域：桥东 甜橙国际 ,地段：邯郸路口中银花园附近,面积：30㎡,租金：300元/㎡/天  
河北,邢台,（出租）出租桥东-豫让桥500平米仓库2500元/月,区域：桥东 豫让桥 ,地段：新眼科医院东500米路南附近,面积：500㎡,租金：2500  
河北,邢台,（出租）出租沙河市区附近仓库,区域：沙河 ,地段：沙河市市区附近或职教中心南行500米,面积：1000㎡,租金：300元/月  
河北,邢台,（出租）冶金生活区附近现成冷库12平米,区域：桥西 北国商城 ,地段：冶金生活区附近附近,面积：12㎡,租金：1000undefined  
河北,邢台,（出租）出租钢结构二楼场地，可做舞蹈跆拳道武馆会议等,区域：桥东 ,地段：新兴东大街附近,面积：400㎡,租金：10元/月  
河北,邢台,（出租）麒麟湾毛坯可当仓库用154平米在9层,区域：桥西 万成新天地 ,地段：团结西路钢铁路太行路附近,面积：154㎡,租金：1300元/月  
河北,邢台,（出租）小型超安全型仓库每个20平，另有临街60平仓库。,区域：桥东 ,地段：新兴东大街附近,面积：20㎡,租金：300元/月  
河北,邢台,（出租）出租桥西守敬南路单位库房,区域：桥西 七里河 ,地段：守敬南路附近或南货场附近,面积：600㎡,租金：面议  
河北,邢台,（出租）高开区顺兴菜市场附近库房出租仓库180平米,区域：桥东 高开区 ,地段：顺兴菜市场附近库房出租附近,面积：180㎡,租金：1000元/月  
河北,邢台,（出租）泉北大街与兴达路交叉口仓库35平米,区域：桥西 ,地段：泉北大街与兴达路交叉口附近,面积：35㎡,租金：350元/月  
河北,邢台,（出租）出租南外环库房500和300平水电全新房办公室7间,区域：桥东 ,地段：南外环附近或晶龙,面积：500㎡,租金：1元/㎡/天  
河北,邢台,（出租）出租桥东-新世纪28平米仓库300元/月,区域：桥东 新世纪 ,地段：甜橙国际东100米附近,面积：28㎡,租金：300  
河北,邢台,（出租）高开区大梁庄仓库100平米,区域：桥东 高开区 ,地段：大梁庄附近,面积：100㎡,租金：1元/月  
河北,邢台,（出租）出租桥东-豫让桥400平米仓库2400元/月,区域：桥东 豫让桥 ,地段：北外环汽车城附近,面积：400㎡,租金：2400  
河北,邢台,（出租）新建中央厨房出租设备齐全干净卫生,区域：桥东 东牛角 ,地段：新华南路南部附近或恒祥医药对面,面积：200㎡,租金：面议  
河北,邢台,（出租）达活泉公园泉南大街南小汪新区仓库30平米,区域：桥西 达活泉公园 ,地段：泉南大街南小汪新区附近,面积：30㎡,租金：600元/㎡/天  
河北,邢台,（出租）出租占地五亩粮站,可做仓库加工厂冷库,区域：邢台县 ,地段：邢台县浆水镇附近,面积：8000㎡,租金：1元/㎡/天  
河北,邢台,（出租）出租桥东高开区仓库,区域：桥东 高开区 ,地段：朱家庄附近或西村口,面积：110㎡,租金：1200元/月  
河北,邢台,（出租）邢西汽车站鹤丽家园出租车库仓库30平米,区域：桥西 邢西汽车站 ,地段：鹤丽家园出租车库附近,面积：30㎡,租金：15元/㎡/天  
河北,邢台,（出租）邢西汽车站桥西鹤丽家园出租车库仓库30平米,区域：桥西 邢西汽车站 ,地段：桥西鹤丽家园出租车库附近,面积：30㎡,租金：15元/㎡/天  
河北,邢台,（出租）出租仓库，车站南路凤凰城西区对面,None,地段：车站南路凤凰城西区附近或斜对面,面积：251㎡,租金：2500元/月  
河北,邢台,（出租）新河县新欣嘉苑小区仓库25平米,区域：其他 新河县 ,地段：新欣嘉苑小区附近,面积：25㎡,租金：1元/㎡/天  
