河北,张家口,（出租）张宣公路沙地房库房400平米,区域：宣化县 ,地段：张宣公路沙地房附近,面积：400㎡,租金：1元/㎡/天  
河北,张家口,（出租）出租请选择110㎡仓库2100元/月,None,地段：纬一路附近,面积：110㎡,租金：2100  
河北,张家口,（出租）桥西区三合店巷内仓库30平米,区域：桥西 ,地段：桥西区三合店巷内附近,面积：30㎡,租金：450元/月  
河北,张家口,（出租）出租桥东七中仓库市中心少有,区域：桥东 七中 ,地段：七中对面附近或汽车大修厂,面积：360㎡,租金：4200元/月  
河北,张家口,（出租）出租桥东七中对面，大修厂院内仓库,区域：桥东 七中 ,地段：新七中对面附近或汽车大修厂,面积：360㎡,租金：4200元/月  
河北,张家口,（出租）西坝港利垣佳和小区仓库40平米,None,地段：西坝港利垣佳和小区附近,面积：40㎡,租金：450元/月  
河北,张家口,（出租）出租库房和临街平房离张家口市近的停车场,区域：桥西 ,地段：苏家桥村附近或小区,面积：8666㎡,租金：面议  
河北,张家口,（出租）张宣翟家庄西侧1000米仓库1330平米,区域：高新区 ,地段：张宣翟家庄西侧1000米附近,面积：1330㎡,租金：6000元/月  
河北,张家口,（出租）市府大街新天地底商仓库110平米,区域：高新区 ,地段：市府大街新天地底商附近,面积：110㎡,租金：3000元/月  
河北,张家口,（出租）新天地小区厂房110平米,区域：高新区 ,地段：新天地小区附近,面积：110㎡,租金：3000元/月  
河北,张家口,（出租）康保扶贫办广场北苑仓库28平米,区域：其他 康保 ,地段：扶贫办广场北苑附近,面积：28㎡,租金：200元/月  
河北,张家口,（出租）新华街华新园二期车库28平米,区域：桥西 ,地段：新华街华新园二期附近,面积：28㎡,租金：500元/月  
河北,张家口,（出租）此房可做仓库，超市，麻将馆，网吧等,区域：高新区 ,地段：纬三路附近,面积：60㎡,租金：1200元/月  
河北,张家口,（出租）钻石北路，工业路仓库150平米,区域：桥东 ,地段：钻石北路，工业路附近,面积：150㎡,租金：1000元/月  
河北,张家口,（出租）个人出租南站附近库房,区域：高新区 ,地段：南站附近,面积：80㎡,租金：7元/㎡/天  
河北,张家口,（出租）低价出租高新区仓库,区域：高新区 ,地段：姚家房中学附近,面积：300㎡,租金：1000元/月  
河北,张家口,（出租）南环路东方子村出租厂院库房,区域：高新区 ,地段：高行区南环路东方子村附近,面积：1500㎡,租金：5000元/㎡/天  
河北,张家口,（出租）出租宣化区城城北岸小区住户地下室仓库,区域：宣化区 ,地段：城城北岸2号楼地下室附近或皇城检查院旁边,面积：25㎡,租金：面议  
河北,张家口,（出租）王家寨金鑫驾校北仓库大院出租,区域：桥东 ,地段：王家寨附近,面积：260㎡,租金：100元/㎡/天  
河北,张家口,（出租）出租桥西串窑街仓库,区域：桥西 串窑街 ,地段：西坝港路祭丰台街道附近或天河桐盛小区,面积：21㎡,租金：面议  
河北,张家口,（出租）远大盛和苑小区仓库150平米,区域：桥西 ,地段：远大盛和苑小区附近,面积：150㎡,租金：1200元/月  
