河北,秦皇岛,（出租）国际汽配城后，102国道仓库360平米,区域：海港 ,地段：国际汽配城后，102国道附近,面积：360㎡,租金：1500元/月  
河北,秦皇岛,（出租）四季青四季青后面下房25平米,区域：海港 四季青 ,地段：四季青后面附近,面积：25㎡,租金：291元/月  
河北,秦皇岛,（出租）出租海港人民广场附近仓库,区域：海港 人民广场 ,地段：新闻里附近,面积：20㎡,租金：350元/月  
河北,秦皇岛,（出租）大院仓库荒山出租出兑,区域：海港 火车站 ,地段：姚周寨村附近,面积：600㎡,租金：2元/㎡/天  
河北,秦皇岛,（出租）汤河公园附近160㎡或220㎡,区域：海港 汤河公园 ,地段：河北大街西段附近或海关斜对面,面积：160㎡,租金：1000元/月  
河北,秦皇岛,（出租）河东新征南里小区仓库800平米,区域：海港 河东 ,地段：新征南里小区附近,面积：800㎡,租金：5400元/月  
河北,秦皇岛,（出租）价格面议秦皇岛海港区东港路库房场地齐全,区域：海港 东盐务 ,地段：秦皇岛海港区东港路附近,面积：280㎡,租金：1元/月  
河北,秦皇岛,（出租）东港镇仓库2000㎡,区域：海港 东盐务 ,地段：东港镇附近,面积：2000㎡,租金：100元/月  
河北,秦皇岛,（出租）柳村，秦山公路旁18平米冷库出租，还带间小屋,区域：海港 东盐务 ,地段：柳村附近，秦山公路旁附近,面积：18㎡,租金：1元/月  
河北,秦皇岛,（出租）冷库出租，海阳批发市场附近,区域：开发区 植物园 ,地段：海阳批发市场附近附近,面积：100㎡,租金：200元/㎡/天  
河北,秦皇岛,（出租）海关珠江道13号仓库500平米,区域：海港 海关 ,地段：珠江道13号附近,面积：500㎡,租金：126元/㎡/天  
河北,秦皇岛,（出租）420平米库存出租,区域：昌黎 ,地段：八里庄小商品批发市场东附近或汉庭酒店,205国道,面积：420㎡,租金：2500元/月  
河北,秦皇岛,（出租）出租海港-火车站320平米仓库2500元/月,区域：海港 火车站 ,地段：东港路附近,面积：320㎡,租金：2500  
河北,秦皇岛,（出租）小高庄南400平米大库出租,区域：其他 ,地段：小高庄南附近,面积：400㎡,租金：面议  
河北,秦皇岛,（出租）东盐务新国际汽配城后面仓库380平米,区域：海港 东盐务 ,地段：新国际汽配城后面附近,面积：380㎡,租金：1500元/月  
河北,秦皇岛,（出租）汤河公园桥东南里仓库1500㎡,区域：海港 汤河公园 ,地段：桥东南里附近,面积：1500㎡,租金：5009元/月  
