河北,保定,（出租）长安工业园仓库1000平米,区域：西城 ,地段：长安工业园附近,面积：1000㎡,租金：10元/㎡/天  
河北,保定,（出租）南市区周边南二环京港澳高速附近仓库350平米,区域：南市 南市区周边 ,地段：南二环京港澳高速附近附近,面积：350㎡,租金：1500元/月  
河北,保定,（出租）出租库房厂房,区域：南城 ,地段：定州中军帐107国道南附近,面积：4000㎡,租金：面议  
河北,保定,（出租）新一代A区附近仓库加车库43平米,区域：北市 ,地段：新一代A区附近附近,面积：43㎡,租金：1200元/月  
河北,保定,（出租）出租南二环库房,区域：保定周边 ,地段：南二环农大科技市场附近附近或农大科技市场,面积：500㎡,租金：面议  
河北,保定,（出租）厂房、仓库、汽修、门面房出租,区域：涿州 ,地段：107国道边附近或华阳公园西门,面积：2000㎡,租金：面议  
河北,保定,（出租）北二环与恒祥大街交叉口，仓库100平米,区域：北市 ,地段：北二环与恒祥大街交叉口，附近,面积：100㎡,租金：1undefined  
河北,保定,（出租）六道口附近出租库房,门脸,区域：南市 河北农大 ,地段：六道口三丰路东行150米附近或六道口,面积：150㎡,租金：面议  
河北,保定,（出租）出租北市北市区周边仓库,区域：北市 北市区周边 ,地段：京港澳北口引线附近或南常保,面积：360㎡,租金：1元/㎡/天  
河北,保定,（出租）定州新外环路300平700平厂房库房,区域：定州 ,地段：新外环路(新107国道)附近或环城医院,面积：1000㎡,租金：面议  
河北,保定,（出租）出租大型库房1200平米带大院,区域：保定周边 满城 ,地段：宏昌大街东行附近或北环,面积：1200㎡,租金：5000元/月  
河北,保定,（出租）后屯小区仓库，车库25平米,区域：新市 烈士陵园 ,地段：后屯小区附近,面积：25㎡,租金：300元/月  
河北,保定,（出租）满城区豪达检测线附近库房出租,区域：保定周边 满城 ,地段：满城区附近,面积：500㎡,租金：面议  
河北,保定,（出租）（独院））厂房、库房出租,区域：北市 丽景蓝湾 ,地段：北堤路附近附近或北二环,面积：600㎡,租金：面议  
河北,保定,（出租）利民路仓库120平米,区域：南市 ,地段：利民路附近,面积：120㎡,租金：1000元/月  
河北,保定,（出租）南市区周边保定东二环樊庄仓库300平米,区域：南市 南市区周边 ,地段：保定东二环樊庄附近,面积：300㎡,租金：2500元/月  
河北,保定,（出租）30平地下室,区域：涿州 ,地段：建设路86号新府阳光附近,面积：30㎡,租金：300元/月  
河北,保定,（出租）出租西城仓库空地,区域：西城 ,地段：批发水果转盘附近附近或西行路南,面积：1000㎡,租金：面议  
河北,保定,（出租）东三环西百楼自建三层楼房出租(独门独院水电齐全),区域：北市 北市区周边 ,地段：东三环西百楼南边附近或西百楼小区,面积：500㎡,租金：面议  
河北,保定,（出租）南二环120平米---1000平米库房数间,区域：南市 南市区周边 ,地段：南二环2466号附近,面积：120㎡,租金：1元/㎡/天  
河北,保定,（出租）交通局朝阳路仓库1至80平米冷库,区域：新市 交通局 ,地段：朝阳路附近,面积：80㎡,租金：5元/㎡/天  
