河北,石家庄,（出租）(个人)石清路,上京北四合院库房出租,区域：鹿泉 ,地段：大河物流附近或上京北4公里,面积：1200㎡,租金：面议  
河北,石家庄,（出租）铁路西恒山市场附近仓库对外出租,区域：正定 ,地段：恒山桥附近或金河物流园,面积：750㎡,租金：面议  
河北,石家庄,（出租）正定县南牛村北紧邻阳曲线独门独院出租,区域：正定 ,地段：国际物流园附近或小商品,面积：750㎡,租金：面议  
河北,石家庄,（出租）出租新华区友谊大街独院库房825和900多办公室,区域：新华 新华周边 ,地段：友谊大街附近,面积：825㎡,租金：6元/月  
河北,石家庄,（出租）(出租)古城西路利得物流园新型钢结构仓库20000,区域：新华 新华周边 ,地段：古城西路与石清路附近或大安舍,面积：20000㎡,租金：面议  
河北,石家庄,（出租）楼底仓库、办公楼出租紧邻方村308国道,区域：裕华 裕华周边 ,地段：楼底公园附近或方村308,面积：6000.0㎡,租金：10.0元/月  
河北,石家庄,（出租）个人殷村镇厂房出租,区域：石家庄周边 元氏 ,地段：元氏县殷村镇红旗大街附近或元氏县殷村镇,面积：1000.0㎡,租金：1.0元/月  
河北,石家庄,（出租）260㎡标准库房出租，建华北二环北侧100米路东,区域：长安 建华 ,地段：建华北二环附近,面积：260㎡,租金：12元/月  
河北,石家庄,（出租）350平米库房加130平米小院低价招租,区域：栾城 ,地段：南三环裕翔街南1里附近或霍家屯,面积：480㎡,租金：面议  
河北,石家庄,（出租）槐西苑东街西500米仓库400平米,区域：桥西 槐西 ,地段：苑东街西500米附近,面积：400㎡,租金：面议  
河北,石家庄,（出租）胜利北街华新路仓库90平米,区域：桥东 胜北 ,地段：胜利北街华新路附近,面积：90㎡,租金：2000元/月  
河北,石家庄,（出租）北外环仓库独门独院可进大车有办公室大小仓库,区域：长安 胜北 ,地段：北外环汊河附近附近或翠屏路（高铁桥下）,面积：680㎡,租金：面议  
河北,石家庄,（出租）出租新华路大马村仓库,区域：新华 新华路 ,地段：新华区大郭镇大马村附近或村北头,面积：700㎡,租金：面议  
